8,2,1
8,2,1
8,2,1
8,2,1
8,2,1
8,2,1
8,2,1
8,2,1
8,2,1
8,2,1
8,2,1
11,2,1
11,2,1
13,2,1
13,2,1
13,2,1
13,2,1
13,2,1
13,2,1
14,2,1
14,2,1
14,2,1
14,2,1
17,2,1
22,2,1
22,2,1
22,2,1
22,2,1
22,2,1
22,2,1
22,2,1
22,2,1
22,2,1
22,2,1
22,2,1
421,2,1
35,3,1
35,3,1
35,3,1
35,3,1
35,3,1
35,3,1
48,3,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
21,4,1
25,4,1
74,4,1
74,4,1
74,4,1
74,4,1
74,4,1
395,4,1
9,7,1
9,7,1
12,7,1
12,7,1
16,7,1
16,7,1
16,7,1
16,7,1
40,7,1
2,8,1
2,8,1
2,8,1
2,8,1
2,8,1
6,8,1
11,8,1
13,8,1
13,8,1
13,8,1
13,8,1
14,8,1
14,8,1
15,8,1
15,8,1
17,8,1
19,8,1
22,8,1
22,8,1
22,8,1
22,8,1
22,8,1
22,8,1
22,8,1
22,8,1
22,8,1
12,9,1
12,9,1
2,10,1
2,10,1
2,10,1
4,10,1
4,10,1
4,10,1
4,10,1
4,10,1
4,10,1
4,10,1
4,10,1
4,10,1
4,10,1
4,10,1
4,10,1
4,10,1
4,10,1
4,10,1
39,10,1
290,10,1
290,10,1
290,10,1
290,10,1
290,10,1
290,10,1
297,10,1
297,10,1
312,10,1
326,10,1
334,10,1
13,11,1
13,11,1
14,11,1
14,11,1
15,11,1
9,12,1
11,12,1
16,12,1
16,12,1
4,13,1
8,13,1
8,13,1
8,13,1
8,13,1
8,13,1
8,13,1
8,13,1
8,13,1
8,13,1
8,13,1
8,13,1
8,13,1
8,13,1
8,13,1
10,13,1
